driver,team,lap,stint,compound,tyre_age,pit_stop,safety_car,fuel_effect,track_evolution,lap_time_seconds
HAM,Mercedes,1,1,Medium,1,0,0,1.995,-0.008,91.066
HAM,Mercedes,2,1,Medium,2,0,0,1.96,-0.016,90.919
HAM,Mercedes,3,1,Medium,3,0,0,1.925,-0.024,91.128
HAM,Mercedes,4,1,Medium,4,0,0,1.89,-0.032,91.359
HAM,Mercedes,5,1,Medium,5,0,0,1.855,-0.04,90.931
HAM,Mercedes,6,1,Medium,6,0,0,1.82,-0.048,90.943
HAM,Mercedes,7,1,Medium,7,0,0,1.785,-0.056,91.409
HAM,Mercedes,8,1,Medium,8,0,0,1.75,-0.064,91.218
HAM,Mercedes,9,1,Medium,9,0,0,1.715,-0.072,90.921
HAM,Mercedes,10,1,Medium,10,0,0,1.68,-0.08,91.186
HAM,Mercedes,11,1,Medium,11,0,0,1.645,-0.088,90.946
HAM,Mercedes,12,1,Medium,12,0,0,1.61,-0.096,90.958
HAM,Mercedes,13,1,Medium,13,0,0,1.575,-0.104,91.146
HAM,Mercedes,14,1,Medium,14,0,0,1.54,-0.112,90.62
HAM,Mercedes,15,1,Medium,15,0,0,1.505,-0.12,90.679
HAM,Mercedes,16,1,Medium,16,0,0,1.47,-0.128,90.981
HAM,Mercedes,17,1,Medium,17,0,0,1.435,-0.136,90.881
HAM,Mercedes,18,1,Medium,18,0,0,1.4,-0.144,91.225
HAM,Mercedes,19,2,Hard,1,1,0,1.365,-0.152,90.371
HAM,Mercedes,20,2,Hard,2,0,0,1.33,-0.16,90.237
HAM,Mercedes,21,2,Hard,3,0,0,1.295,-0.168,90.948
HAM,Mercedes,22,2,Hard,4,0,0,1.26,-0.176,90.518
HAM,Mercedes,23,2,Hard,5,0,0,1.225,-0.184,90.583
HAM,Mercedes,24,2,Hard,6,0,1,1.19,-0.192,105.756
HAM,Mercedes,25,2,Hard,7,0,1,1.155,-0.2,102.541
HAM,Mercedes,26,2,Hard,8,0,1,1.12,-0.208,103.026
HAM,Mercedes,27,2,Hard,9,0,1,1.085,-0.216,108.077
HAM,Mercedes,28,2,Hard,10,0,0,1.05,-0.224,90.453
HAM,Mercedes,29,2,Hard,11,0,0,1.015,-0.232,90.368
HAM,Mercedes,30,2,Hard,12,0,0,0.98,-0.24,90.973
HAM,Mercedes,31,2,Hard,13,0,0,0.945,-0.248,90.499
HAM,Mercedes,32,2,Hard,14,0,0,0.91,-0.256,90.23
HAM,Mercedes,33,2,Hard,15,0,0,0.875,-0.264,90.692
HAM,Mercedes,34,2,Hard,16,0,0,0.84,-0.272,90.173
HAM,Mercedes,35,2,Hard,17,0,0,0.805,-0.28,90.522
HAM,Mercedes,36,2,Hard,18,0,0,0.77,-0.288,89.972
HAM,Mercedes,37,2,Hard,19,0,0,0.735,-0.296,90.122
HAM,Mercedes,38,2,Hard,20,0,0,0.7,-0.304,90.495
HAM,Mercedes,39,3,Medium,1,1,0,0.665,-0.312,89.493
HAM,Mercedes,40,3,Medium,2,0,0,0.63,-0.32,89.363
HAM,Mercedes,41,3,Medium,3,0,0,0.595,-0.328,89.303
HAM,Mercedes,42,3,Medium,4,0,0,0.56,-0.336,89.269
HAM,Mercedes,43,3,Medium,5,0,0,0.525,-0.344,88.986
HAM,Mercedes,44,3,Medium,6,0,0,0.49,-0.352,89.188
HAM,Mercedes,45,3,Medium,7,0,0,0.455,-0.36,89.265
HAM,Mercedes,46,3,Medium,8,0,0,0.42,-0.368,89.656
HAM,Mercedes,47,3,Medium,9,0,0,0.385,-0.376,89.49
HAM,Mercedes,48,3,Medium,10,0,0,0.35,-0.384,88.975
HAM,Mercedes,49,3,Medium,11,0,0,0.315,-0.392,89.509
HAM,Mercedes,50,3,Medium,12,0,0,0.28,-0.4,89.344
HAM,Mercedes,51,3,Medium,13,0,0,0.245,-0.408,89.283
HAM,Mercedes,52,3,Medium,14,0,0,0.21,-0.416,89.617
HAM,Mercedes,53,3,Medium,15,0,0,0.175,-0.424,89.734
HAM,Mercedes,54,3,Medium,16,0,0,0.14,-0.432,89.721
HAM,Mercedes,55,3,Medium,17,0,0,0.105,-0.44,89.29
HAM,Mercedes,56,3,Medium,18,0,0,0.07,-0.448,89.435
HAM,Mercedes,57,3,Medium,19,0,0,0.035,-0.456,89.607
HAM,Mercedes,58,3,Medium,20,0,0,0.0,-0.464,89.78
RUS,Mercedes,1,1,Medium,1,0,0,1.995,-0.008,90.972
RUS,Mercedes,2,1,Medium,2,0,0,1.96,-0.016,91.058
RUS,Mercedes,3,1,Medium,3,0,0,1.925,-0.024,90.839
RUS,Mercedes,4,1,Medium,4,0,0,1.89,-0.032,90.829
RUS,Mercedes,5,1,Medium,5,0,0,1.855,-0.04,91.343
RUS,Mercedes,6,1,Medium,6,0,0,1.82,-0.048,91.491
RUS,Mercedes,7,1,Medium,7,0,0,1.785,-0.056,91.146
RUS,Mercedes,8,1,Medium,8,0,0,1.75,-0.064,91.427
RUS,Mercedes,9,1,Medium,9,0,0,1.715,-0.072,91.278
RUS,Mercedes,10,1,Medium,10,0,0,1.68,-0.08,91.039
RUS,Mercedes,11,1,Medium,11,0,0,1.645,-0.088,91.302
RUS,Mercedes,12,1,Medium,12,0,0,1.61,-0.096,91.609
RUS,Mercedes,13,1,Medium,13,0,0,1.575,-0.104,91.227
RUS,Mercedes,14,1,Medium,14,0,0,1.54,-0.112,91.639
RUS,Mercedes,15,1,Medium,15,0,0,1.505,-0.12,90.605
RUS,Mercedes,16,1,Medium,16,0,0,1.47,-0.128,91.477
RUS,Mercedes,17,1,Medium,17,0,0,1.435,-0.136,91.306
RUS,Mercedes,18,1,Medium,18,0,0,1.4,-0.144,91.221
RUS,Mercedes,19,1,Medium,19,0,0,1.365,-0.152,91.331
RUS,Mercedes,20,1,Medium,20,0,0,1.33,-0.16,90.823
RUS,Mercedes,21,2,Hard,1,1,0,1.295,-0.168,90.607
RUS,Mercedes,22,2,Hard,2,0,0,1.26,-0.176,90.743
RUS,Mercedes,23,2,Hard,3,0,0,1.225,-0.184,91.015
RUS,Mercedes,24,2,Hard,4,0,1,1.19,-0.192,103.881
RUS,Mercedes,25,2,Hard,5,0,1,1.155,-0.2,102.89
RUS,Mercedes,26,2,Hard,6,0,1,1.12,-0.208,108.075
RUS,Mercedes,27,2,Hard,7,0,1,1.085,-0.216,107.692
RUS,Mercedes,28,2,Hard,8,0,0,1.05,-0.224,90.688
RUS,Mercedes,29,2,Hard,9,0,0,1.015,-0.232,90.466
RUS,Mercedes,30,2,Hard,10,0,0,0.98,-0.24,90.718
RUS,Mercedes,31,2,Hard,11,0,0,0.945,-0.248,90.606
RUS,Mercedes,32,2,Hard,12,0,0,0.91,-0.256,90.816
RUS,Mercedes,33,2,Hard,13,0,0,0.875,-0.264,90.39
RUS,Mercedes,34,2,Hard,14,0,0,0.84,-0.272,90.476
RUS,Mercedes,35,2,Hard,15,0,0,0.805,-0.28,90.452
RUS,Mercedes,36,2,Hard,16,0,0,0.77,-0.288,90.176
RUS,Mercedes,37,2,Hard,17,0,0,0.735,-0.296,90.608
RUS,Mercedes,38,2,Hard,18,0,0,0.7,-0.304,90.591
RUS,Mercedes,39,2,Hard,19,0,0,0.665,-0.312,90.519
RUS,Mercedes,40,2,Hard,20,0,0,0.63,-0.32,90.451
RUS,Mercedes,41,2,Hard,21,0,0,0.595,-0.328,90.148
RUS,Mercedes,42,2,Hard,22,0,0,0.56,-0.336,90.389
RUS,Mercedes,43,2,Hard,23,0,0,0.525,-0.344,90.4
RUS,Mercedes,44,2,Hard,24,0,0,0.49,-0.352,90.277
RUS,Mercedes,45,2,Hard,25,0,0,0.455,-0.36,90.43
RUS,Mercedes,46,2,Hard,26,0,0,0.42,-0.368,90.563
RUS,Mercedes,47,2,Hard,27,0,0,0.385,-0.376,90.926
RUS,Mercedes,48,2,Hard,28,0,0,0.35,-0.384,90.49
RUS,Mercedes,49,2,Hard,29,0,0,0.315,-0.392,90.502
RUS,Mercedes,50,2,Hard,30,0,0,0.28,-0.4,90.411
RUS,Mercedes,51,2,Hard,31,0,0,0.245,-0.408,89.942
RUS,Mercedes,52,2,Hard,32,0,0,0.21,-0.416,90.407
RUS,Mercedes,53,2,Hard,33,0,0,0.175,-0.424,90.421
RUS,Mercedes,54,2,Hard,34,0,0,0.14,-0.432,91.014
RUS,Mercedes,55,2,Hard,35,0,0,0.105,-0.44,90.342
RUS,Mercedes,56,2,Hard,36,0,0,0.07,-0.448,90.457
RUS,Mercedes,57,2,Hard,37,0,0,0.035,-0.456,90.365
RUS,Mercedes,58,2,Hard,38,0,0,0.0,-0.464,90.074
VER,Red Bull,1,1,Medium,1,0,0,1.995,-0.008,90.478
VER,Red Bull,2,1,Medium,2,0,0,1.96,-0.016,90.392
VER,Red Bull,3,1,Medium,3,0,0,1.925,-0.024,90.414
VER,Red Bull,4,1,Medium,4,0,0,1.89,-0.032,90.001
VER,Red Bull,5,1,Medium,5,0,0,1.855,-0.04,90.591
VER,Red Bull,6,1,Medium,6,0,0,1.82,-0.048,89.902
VER,Red Bull,7,1,Medium,7,0,0,1.785,-0.056,90.411
VER,Red Bull,8,1,Medium,8,0,0,1.75,-0.064,90.824
VER,Red Bull,9,1,Medium,9,0,0,1.715,-0.072,90.04
VER,Red Bull,10,1,Medium,10,0,0,1.68,-0.08,90.158
VER,Red Bull,11,1,Medium,11,0,0,1.645,-0.088,90.337
VER,Red Bull,12,1,Medium,12,0,0,1.61,-0.096,90.198
VER,Red Bull,13,1,Medium,13,0,0,1.575,-0.104,89.948
VER,Red Bull,14,1,Medium,14,0,0,1.54,-0.112,90.365
VER,Red Bull,15,1,Medium,15,0,0,1.505,-0.12,90.094
VER,Red Bull,16,1,Medium,16,0,0,1.47,-0.128,90.49
VER,Red Bull,17,1,Medium,17,0,0,1.435,-0.136,90.154
VER,Red Bull,18,1,Medium,18,0,0,1.4,-0.144,90.783
VER,Red Bull,19,1,Medium,19,0,0,1.365,-0.152,90.212
VER,Red Bull,20,2,Hard,1,1,0,1.33,-0.16,89.724
VER,Red Bull,21,2,Hard,2,0,0,1.295,-0.168,90.0
VER,Red Bull,22,2,Hard,3,0,0,1.26,-0.176,89.481
VER,Red Bull,23,2,Hard,4,0,0,1.225,-0.184,89.838
VER,Red Bull,24,2,Hard,5,0,1,1.19,-0.192,105.278
VER,Red Bull,25,2,Hard,6,0,1,1.155,-0.2,103.281
VER,Red Bull,26,2,Hard,7,0,1,1.12,-0.208,103.987
VER,Red Bull,27,2,Hard,8,0,1,1.085,-0.216,103.975
VER,Red Bull,28,2,Hard,9,0,0,1.05,-0.224,89.815
VER,Red Bull,29,2,Hard,10,0,0,1.015,-0.232,89.796
VER,Red Bull,30,2,Hard,11,0,0,0.98,-0.24,89.812
VER,Red Bull,31,2,Hard,12,0,0,0.945,-0.248,89.547
VER,Red Bull,32,2,Hard,13,0,0,0.91,-0.256,89.767
VER,Red Bull,33,2,Hard,14,0,0,0.875,-0.264,89.774
VER,Red Bull,34,2,Hard,15,0,0,0.84,-0.272,89.514
VER,Red Bull,35,2,Hard,16,0,0,0.805,-0.28,90.151
VER,Red Bull,36,2,Hard,17,0,0,0.77,-0.288,89.795
VER,Red Bull,37,2,Hard,18,0,0,0.735,-0.296,89.371
VER,Red Bull,38,2,Hard,19,0,0,0.7,-0.304,89.825
VER,Red Bull,39,2,Hard,20,0,0,0.665,-0.312,89.409
VER,Red Bull,40,2,Hard,21,0,0,0.63,-0.32,89.842
VER,Red Bull,41,2,Hard,22,0,0,0.595,-0.328,89.927
VER,Red Bull,42,2,Hard,23,0,0,0.56,-0.336,89.424
VER,Red Bull,43,2,Hard,24,0,0,0.525,-0.344,89.862
VER,Red Bull,44,2,Hard,25,0,0,0.49,-0.352,89.716
VER,Red Bull,45,2,Hard,26,0,0,0.455,-0.36,89.811
VER,Red Bull,46,2,Hard,27,0,0,0.42,-0.368,90.071
VER,Red Bull,47,2,Hard,28,0,0,0.385,-0.376,89.528
VER,Red Bull,48,2,Hard,29,0,0,0.35,-0.384,89.393
VER,Red Bull,49,2,Hard,30,0,0,0.315,-0.392,89.351
VER,Red Bull,50,2,Hard,31,0,0,0.28,-0.4,89.361
VER,Red Bull,51,2,Hard,32,0,0,0.245,-0.408,89.538
VER,Red Bull,52,2,Hard,33,0,0,0.21,-0.416,89.634
VER,Red Bull,53,2,Hard,34,0,0,0.175,-0.424,89.61
VER,Red Bull,54,2,Hard,35,0,0,0.14,-0.432,89.74
VER,Red Bull,55,2,Hard,36,0,0,0.105,-0.44,89.528
VER,Red Bull,56,2,Hard,37,0,0,0.07,-0.448,89.88
VER,Red Bull,57,2,Hard,38,0,0,0.035,-0.456,89.443
VER,Red Bull,58,2,Hard,39,0,0,0.0,-0.464,90.181
PER,Red Bull,1,1,Soft,1,0,0,1.995,-0.008,90.188
PER,Red Bull,2,1,Soft,2,0,0,1.96,-0.016,89.87
PER,Red Bull,3,1,Soft,3,0,0,1.925,-0.024,89.868
PER,Red Bull,4,1,Soft,4,0,0,1.89,-0.032,90.309
PER,Red Bull,5,1,Soft,5,0,0,1.855,-0.04,90.184
PER,Red Bull,6,1,Soft,6,0,0,1.82,-0.048,90.471
PER,Red Bull,7,1,Soft,7,0,0,1.785,-0.056,90.462
PER,Red Bull,8,1,Soft,8,0,0,1.75,-0.064,90.378
PER,Red Bull,9,1,Soft,9,0,0,1.715,-0.072,90.236
PER,Red Bull,10,1,Soft,10,0,0,1.68,-0.08,90.121
PER,Red Bull,11,1,Soft,11,0,0,1.645,-0.088,90.44
PER,Red Bull,12,1,Soft,12,0,0,1.61,-0.096,90.818
PER,Red Bull,13,1,Soft,13,0,0,1.575,-0.104,90.71
PER,Red Bull,14,1,Soft,14,0,0,1.54,-0.112,90.397
PER,Red Bull,15,1,Soft,15,0,0,1.505,-0.12,90.803
PER,Red Bull,16,1,Soft,16,0,0,1.47,-0.128,90.908
PER,Red Bull,17,1,Soft,17,0,0,1.435,-0.136,90.643
PER,Red Bull,18,2,Medium,1,1,0,1.4,-0.144,89.899
PER,Red Bull,19,2,Medium,2,0,0,1.365,-0.152,89.888
PER,Red Bull,20,2,Medium,3,0,0,1.33,-0.16,89.599
PER,Red Bull,21,2,Medium,4,0,0,1.295,-0.168,89.986
